Item:626210124; Precio:169173; Cant:4
Item:111100234; Precio:47453; Cant:21
Item:111100235; Precio:82339; Cant:73
Item:111100238; Precio:13514; Cant:11
Item:111100239; Precio:25883; Cant:4
Item:111100240; Precio:26096; Cant:51
Item:111100242; Precio:88707; Cant:116
Item:111100243; Precio:26096; Cant:7
Item:111100245; Precio:88707; Cant:83
Item:111100266; Precio:27330; Cant:22
Item:111100267; Precio:6307; Cant:16
Item:111100268; Precio:8307; Cant:43
Item:111100269; Precio:18415; Cant:7
Item:111100274; Precio:16293; Cant:27
Item:111100288; Precio:77403; Cant:0
Item:111100296; Precio:12588; Cant:4
Item:111100301; Precio:47789; Cant:26
Item:111100302; Precio:11377; Cant:8
Item:111100303; Precio:100318; Cant:33
Item:111100304; Precio:22101; Cant:0
Item:111100306; Precio:47789; Cant:23
Item:111100314; Precio:31026; Cant:40
Item:111100318; Precio:30824; Cant:48
Item:111100319; Precio:200132; Cant:53
Item:111100323; Precio:203770; Cant:42
Item:111100330; Precio:269955; Cant:0
Item:111100332; Precio:269955; Cant:0
Item:111100333; Precio:39834; Cant:0
Item:111100335; Precio:306652; Cant:22
Item:111100336; Precio:46257; Cant:23
Item:111100337; Precio:43817; Cant:0
Item:111100355; Precio:179996; Cant:105
Item:111100357; Precio:19564; Cant:7
Item:111100358; Precio:52833; Cant:9
Item:111100359; Precio:98565; Cant:43
Item:111100360; Precio:256132; Cant:72
Item:111100362; Precio:25357; Cant:8
Item:111100363; Precio:67412; Cant:20
Item:111100365; Precio:139685; Cant:28
Item:111100366; Precio:218252; Cant:78
Item:111100367; Precio:22553; Cant:0
Item:111100368; Precio:58939; Cant:9
Item:111100369; Precio:115885; Cant:26
Item:111100380; Precio:251209; Cant:23
Item:111100381; Precio:25233; Cant:10
Item:111100382; Precio:68596; Cant:11
Item:111100384; Precio:138752; Cant:37
Item:111100402; Precio:52588; Cant:79
Item:111100403; Precio:8007; Cant:254
Item:111100404; Precio:102180; Cant:24
Item:111100405; Precio:16023; Cant:6
Item:111100407; Precio:40409; Cant:71
Item:111100408; Precio:8663; Cant:20
Item:111100412; Precio:12252; Cant:174
Item:111100415; Precio:37434; Cant:75
Item:111100459; Precio:2931; Cant:2272
Item:111100460; Precio:2931; Cant:4101
Item:111100464; Precio:107155; Cant:20
Item:111100466; Precio:41600; Cant:0
Item:111100475; Precio:107155; Cant:21
Item:111100478; Precio:43523; Cant:0
Item:111100484; Precio:419562; Cant:0
Item:111100487; Precio:41600; Cant:0
Item:111100488; Precio:112976; Cant:38
Item:111100490; Precio:115796; Cant:36
Item:111100495; Precio:442907; Cant:37
Item:111100496; Precio:115556; Cant:16
Item:111100525; Precio:108899; Cant:14
Item:111100588; Precio:8680; Cant:93
Item:111100589; Precio:8680; Cant:144
Item:111100612; Precio:93544; Cant:36
Item:111100633; Precio:20250; Cant:129
Item:111100634; Precio:20250; Cant:184
Item:111100635; Precio:50360; Cant:27
Item:111100638; Precio:301021; Cant:6
Item:111100639; Precio:15631; Cant:3
Item:111100640; Precio:56188; Cant:27
Item:111100642; Precio:46748; Cant:21
Item:111100645; Precio:308760; Cant:34
Item:111100646; Precio:13833; Cant:0
Item:111100647; Precio:52090; Cant:0
Item:111100650; Precio:280441; Cant:4
Item:111100651; Precio:46748; Cant:5
Item:111100653; Precio:307321; Cant:0
Item:111100654; Precio:50877; Cant:21
Item:111100666; Precio:148661; Cant:75
Item:111100667; Precio:186010; Cant:162
Item:111100668; Precio:148777; Cant:49
Item:111100669; Precio:50116; Cant:11
Item:111100670; Precio:85505; Cant:15
Item:111100671; Precio:160495; Cant:223
Item:111100672; Precio:3912; Cant:83
Item:111100673; Precio:221835; Cant:25
Item:111110014; Precio:29370; Cant:21
Item:111110015; Precio:99122; Cant:115
Item:111110016; Precio:10718; Cant:21
Item:111110018; Precio:11276; Cant:10
Item:111110019; Precio:30918; Cant:45
Item:111110020; Precio:99704; Cant:183
Item:111110022; Precio:30918; Cant:32
Item:111110023; Precio:11276; Cant:0
Item:111110024; Precio:99738; Cant:41
Item:111110026; Precio:29370; Cant:41
Item:111110027; Precio:10718; Cant:20
Item:111110028; Precio:99122; Cant:54
Item:111110029; Precio:30619; Cant:25
Item:111110030; Precio:11585; Cant:18
Item:111110038; Precio:4282; Cant:0
Item:111110039; Precio:4554; Cant:209
Item:111110040; Precio:187348; Cant:0
Item:111110041; Precio:67410; Cant:0
Item:111110042; Precio:188533; Cant:0
Item:111110043; Precio:72646; Cant:0
Item:111110044; Precio:74515; Cant:7
Item:111110053; Precio:12387; Cant:0
Item:111110055; Precio:11916; Cant:198
Item:111110056; Precio:106458; Cant:152
Item:111110060; Precio:9624; Cant:0
Item:111110063; Precio:18065; Cant:16
Item:111110064; Precio:101531; Cant:70
Item:111110065; Precio:11852; Cant:0
Item:111110068; Precio:13367; Cant:624
Item:111110069; Precio:108432; Cant:111
Item:111110071; Precio:73115; Cant:26
Item:111110072; Precio:131513; Cant:73
Item:111110077; Precio:115103; Cant:0
Item:111110079; Precio:79124; Cant:57
Item:111110082; Precio:282200; Cant:63
Item:111110083; Precio:81454; Cant:38
Item:111110084; Precio:76158; Cant:71
Item:111110087; Precio:80945; Cant:38
Item:111110089; Precio:11980; Cant:0
Item:111110093; Precio:109361; Cant:71
Item:111110096; Precio:83402; Cant:33
Item:111110097; Precio:89093; Cant:57
Item:111110100; Precio:72173; Cant:123
Item:111110102; Precio:74821; Cant:134
Item:111110114; Precio:28424; Cant:37
Item:111110115; Precio:4874; Cant:17
Item:111110117; Precio:4874; Cant:23
Item:111110118; Precio:66382; Cant:7
Item:111110138; Precio:267396; Cant:57
Item:111110139; Precio:30520; Cant:9
Item:111110141; Precio:29856; Cant:15
Item:111110142; Precio:19874; Cant:22
Item:111110143; Precio:53956; Cant:67
Item:111110144; Precio:121555; Cant:88
Item:111110145; Precio:75637; Cant:25
Item:111110146; Precio:159685; Cant:9
Item:111110186; Precio:98899; Cant:3
Item:111110198; Precio:28170; Cant:57
Item:111110201; Precio:28170; Cant:30
Item:111110215; Precio:28170; Cant:23
Item:111110218; Precio:2931; Cant:3886
Item:111110219; Precio:2931; Cant:1173
Item:111110221; Precio:2931; Cant:0
Item:111110227; Precio:16537; Cant:29
Item:111110229; Precio:18191; Cant:8
Item:111110239; Precio:7835; Cant:23
Item:111120007; Precio:2953; Cant:108
Item:111120008; Precio:94024; Cant:21
Item:111130050; Precio:16563; Cant:38
Item:111130051; Precio:2934; Cant:73
Item:111130052; Precio:5628; Cant:69
Item:111150029; Precio:3492; Cant:40
Item:111150042; Precio:2875; Cant:0
Item:111150066; Precio:15580; Cant:29
Item:2020020010005; Precio:51992; Cant:0
Item:2020020020026; Precio:33304; Cant:0
Item:2020020020028; Precio:30371; Cant:0
Item:2020020020029; Precio:33753; Cant:0
Item:2020020020030; Precio:8187; Cant:0
Item:2020020080002; Precio:37450; Cant:0
Item:2020120100028; Precio:132263; Cant:0
Item:2020120100029; Precio:114407; Cant:0
Item:2020120100030; Precio:61622; Cant:4
Item:2020120100031; Precio:83564; Cant:24
Item:2020120100032; Precio:81649; Cant:44
Item:2020120100033; Precio:82196; Cant:0
Item:2020120100034; Precio:61237; Cant:29
Item:2020120100035; Precio:76402; Cant:4
Item:2020120100036; Precio:105921; Cant:34
Item:2020120100037; Precio:97607; Cant:0
Item:2020120100038; Precio:1664; Cant:0
Item:2020120100041; Precio:61646; Cant:0
Item:2020120100042; Precio:57301; Cant:11
Item:2020120100043; Precio:96957; Cant:6
Item:2020120110001; Precio:518095; Cant:0
Item:2020120110002; Precio:1543202; Cant:0
Item:2020120110003; Precio:343983; Cant:0
Item:2020120110005; Precio:209771; Cant:0
Item:2020120120004; Precio:6922; Cant:268
Item:2020120120005; Precio:5355; Cant:34
Item:2020120120007; Precio:4817; Cant:0
Item:2020120120008; Precio:6922; Cant:357
Item:2020120120009; Precio:6922; Cant:291
Item:2020120120012; Precio:5386; Cant:0
Item:2020120120020; Precio:12203; Cant:39
Item:2020120120023; Precio:45840; Cant:52
Item:2020120150001; Precio:2257; Cant:0
Item:2020120150002; Precio:25214; Cant:0
Item:2020120150016; Precio:55356; Cant:0
Item:2020120150017; Precio:45297; Cant:0
Item:2020120150019; Precio:12246; Cant:14
Item:2020220210013; Precio:27560; Cant:0
Item:2020220210041; Precio:41385; Cant:0
Item:2020220240002; Precio:56513; Cant:5
Item:2020220240012; Precio:43874; Cant:0
Item:2020220250004; Precio:202983; Cant:4
Item:2020220250005; Precio:79892; Cant:0
Item:2020220250006; Precio:258360; Cant:0
Item:2020220260010; Precio:595729; Cant:0
Item:2020220270008; Precio:40850; Cant:5
Item:2020220270009; Precio:82682; Cant:68
Item:2020220270011; Precio:122391; Cant:0
Item:2020220270012; Precio:257232; Cant:9
Item:2020320330008; Precio:32721; Cant:19
Item:2020320350019; Precio:953; Cant:16
Item:2020320350020; Precio:2583; Cant:9
Item:2020320350063; Precio:23652; Cant:0
Item:2020320350065; Precio:79802; Cant:14
Item:2020320350067; Precio:95207; Cant:9
Item:2020320350076; Precio:18919; Cant:6
Item:2020320350078; Precio:33592; Cant:5
Item:2020520510010; Precio:4753; Cant:16
Item:2020520510011; Precio:6819; Cant:0
Item:2020520510012; Precio:16766; Cant:0
Item:2020520510013; Precio:30792; Cant:12
Item:2020520510014; Precio:1538; Cant:121
Item:2020520580004; Precio:28295; Cant:0
Item:2020620610001; Precio:31187; Cant:110
Item:2121021010016; Precio:65650; Cant:0
Item:2121021030031; Precio:28446; Cant:3
Item:2121021030038; Precio:108188; Cant:6
Item:2121021030039; Precio:58830; Cant:14
Item:2121021030040; Precio:58830; Cant:5
Item:2121021030042; Precio:38043; Cant:0
Item:2121021040007; Precio:41943; Cant:17
Item:2121021040008; Precio:41011; Cant:5
Item:2121021040009; Precio:26726; Cant:3
Item:2121021050007; Precio:25286; Cant:6
Item:2121021050008; Precio:63732; Cant:22
Item:2121021050009; Precio:55939; Cant:21
Item:2121121100002; Precio:81394; Cant:5
Item:2121121100003; Precio:96696; Cant:0
Item:2121121100004; Precio:105424; Cant:9
Item:2121121100008; Precio:48209; Cant:4
Item:2121121100010; Precio:54329; Cant:3
Item:2121121100011; Precio:70136; Cant:0
Item:2121121100012; Precio:91869; Cant:42
Item:2121121150006; Precio:12369; Cant:7
Item:2121121160001; Precio:2849; Cant:9
Item:2121121170001; Precio:64659; Cant:0
Item:2121121170002; Precio:115213; Cant:7
Item:2222022000016; Precio:1790; Cant:0
Item:2222022010017; Precio:1301; Cant:6
Item:2222022010021; Precio:10463; Cant:4
Item:2222022010022; Precio:9108; Cant:0
Item:2222022010027; Precio:8237; Cant:0
Item:2222022010028; Precio:26760; Cant:9
Item:2222022020001; Precio:27393; Cant:34
Item:2222022030002; Precio:10795; Cant:89
Item:2222022030003; Precio:7025; Cant:0
Item:2222022030004; Precio:4887; Cant:0
Item:2222022040001; Precio:48599; Cant:140
Item:2222122110007; Precio:92592; Cant:0
Item:2222122110008; Precio:85297; Cant:3
Item:2222122110009; Precio:122389; Cant:5
Item:2222122110010; Precio:71893; Cant:6
Item:2323023040025; Precio:158726; Cant:3
Item:2323023040026; Precio:151838; Cant:3
Item:2323023040027; Precio:199401; Cant:5
Item:2323023040028; Precio:1546519; Cant:5
Item:2323023040030; Precio:728997; Cant:6
Item:2323023040031; Precio:1908314; Cant:2
Item:2323023050007; Precio:820512; Cant:4
Item:2323023050008; Precio:457782; Cant:7
Item:2323023050009; Precio:176817; Cant:0
Item:2323023050010; Precio:274751; Cant:5
Item:2323023050011; Precio:155979; Cant:0
Item:2323023050013; Precio:132613; Cant:4
Item:2323023050014; Precio:492224; Cant:6
Item:2323123140039; Precio:104952; Cant:0
Item:2323123180001; Precio:94330; Cant:0
Item:2323123180002; Precio:51933; Cant:0
Item:2323123180004; Precio:565652; Cant:4
Item:2323123180007; Precio:93705; Cant:5
Item:2323123180008; Precio:38882; Cant:5
Item:2323123180015; Precio:21275; Cant:0
Item:2323123190010; Precio:200143; Cant:110
Item:2323123190031; Precio:149518; Cant:41
Item:2323123190032; Precio:163689; Cant:40
Item:2323123190033; Precio:131302; Cant:10
Item:2323123190034; Precio:244676; Cant:5
Item:2323123190035; Precio:700433; Cant:0
Item:2323223210002; Precio:4133; Cant:4
Item:2323223210004; Precio:5522; Cant:0
Item:2323223210005; Precio:17724; Cant:0
Item:2323223210006; Precio:5377; Cant:0
Item:2323223210007; Precio:5830; Cant:0
Item:2323223210008; Precio:4453; Cant:9
Item:2323223210010; Precio:35448; Cant:0
Item:2323223210011; Precio:6659; Cant:0
Item:2323223210012; Precio:41005; Cant:0
Item:2323223210013; Precio:5038; Cant:0
Item:2323223210016; Precio:9245; Cant:0
Item:2323223210017; Precio:15665; Cant:4
Item:2323223210018; Precio:7526; Cant:5
Item:2323223210019; Precio:2124; Cant:10
Item:2323223210020; Precio:20907; Cant:0
Item:2323223210021; Precio:14248; Cant:0
Item:2323223210023; Precio:23333; Cant:0
Item:2323223210024; Precio:29691; Cant:0
Item:2323223210025; Precio:26953; Cant:11
Item:2323223210027; Precio:47301; Cant:0
Item:2323223210028; Precio:25246; Cant:0
Item:2323223210029; Precio:24695; Cant:39
Item:2323223210030; Precio:29607; Cant:5
Item:2323223210031; Precio:16931; Cant:0
Item:2323223210032; Precio:31391; Cant:4
Item:2323223210034; Precio:27213; Cant:0
Item:2323223210035; Precio:36525; Cant:0
Item:2323223210036; Precio:30819; Cant:0
Item:2323223210037; Precio:57304; Cant:0
Item:2323223210041; Precio:21101; Cant:11
Item:2323223210042; Precio:24655; Cant:0
Item:2323223210044; Precio:17523; Cant:0
Item:2323223210045; Precio:39041; Cant:0
Item:2424024000037; Precio:28579; Cant:0
Item:2424024030001; Precio:63557; Cant:0
Item:2424024030002; Precio:63557; Cant:0
Item:2424024030003; Precio:63557; Cant:12
Item:2424024030004; Precio:63557; Cant:0
Item:2424124150001; Precio:119705; Cant:0
Item:2424124150002; Precio:99609; Cant:9
Item:2525125110004; Precio:26874; Cant:0
Item:2525225220011; Precio:60590; Cant:4
Item:2525225220012; Precio:20804; Cant:0
Item:2525225220015; Precio:100334; Cant:0
Item:2525225220040; Precio:18089; Cant:0
Item:2525325300018; Precio:240617; Cant:0
Item:2525325310008; Precio:53512; Cant:0
Item:2525325310014; Precio:35215; Cant:0
Item:2525325310015; Precio:35366; Cant:0
Item:2525325310017; Precio:33222; Cant:0
Item:2626026010011; Precio:96574; Cant:7
Item:2626026010012; Precio:17751; Cant:0
Item:2626026010013; Precio:20931; Cant:0
Item:2626026010014; Precio:204893; Cant:0
Item:2626026010015; Precio:106851; Cant:23
Item:2626026010016; Precio:63334; Cant:8
Item:2626026010017; Precio:40983; Cant:4
Item:2626026010018; Precio:48175; Cant:0
Item:2626026010020; Precio:205664; Cant:0
Item:2626026020001; Precio:26125; Cant:4
Item:2626026020003; Precio:16328; Cant:5
Item:2626126100002; Precio:34758; Cant:19
Item:2626126100003; Precio:34592; Cant:0
Item:2626226200001; Precio:50968; Cant:39
Item:2626226200003; Precio:191830; Cant:4
Item:2626226200004; Precio:291445; Cant:14
Item:2626226200015; Precio:6312; Cant:0
Item:2626226200026; Precio:22710; Cant:0
Item:2626226200027; Precio:26929; Cant:5
Item:2626226200029; Precio:53981; Cant:14
Item:2626226200030; Precio:27987; Cant:0
Item:2626226200031; Precio:6314; Cant:0
Item:303010013; Precio:185955; Cant:0
Item:303010017; Precio:200255; Cant:0
Item:303010034; Precio:463381; Cant:6
Item:303010035; Precio:415683; Cant:10
Item:303010040; Precio:300239; Cant:0
Item:303010041; Precio:412798; Cant:0
Item:303010042; Precio:570750; Cant:4
Item:303010043; Precio:711253; Cant:0
Item:303020023; Precio:72986; Cant:4
Item:303020032; Precio:69416; Cant:4
Item:303020035; Precio:159451; Cant:5
Item:303020044; Precio:74127; Cant:0
Item:303020060; Precio:102141; Cant:4
Item:303020065; Precio:564908; Cant:5
Item:303020066; Precio:669766; Cant:2
Item:303020074; Precio:29750; Cant:12
Item:303020075; Precio:39666; Cant:0
Item:303020076; Precio:15866; Cant:15
Item:303020077; Precio:33716; Cant:10
Item:303020078; Precio:17850; Cant:9
Item:303020088; Precio:82308; Cant:5
Item:303020089; Precio:71598; Cant:7
Item:303020090; Precio:78044; Cant:3
Item:303020092; Precio:44625; Cant:7
Item:303020093; Precio:100753; Cant:3
Item:303020117; Precio:430946; Cant:0
Item:303020118; Precio:223506; Cant:0
Item:303020119; Precio:46224; Cant:8
Item:303020120; Precio:56594; Cant:7
Item:303020121; Precio:65981; Cant:6
Item:303020122; Precio:90108; Cant:3
Item:303030002; Precio:76587; Cant:6
Item:303030003; Precio:63446; Cant:7
Item:303030004; Precio:27076; Cant:0
Item:303030005; Precio:131537; Cant:8
Item:303030006; Precio:160340; Cant:7
Item:303030007; Precio:190205; Cant:7
Item:303030008; Precio:204768; Cant:5
Item:303030009; Precio:88666; Cant:16
Item:303030010; Precio:118793; Cant:5
Item:303030011; Precio:938551; Cant:4
Item:303030012; Precio:756838; Cant:7
Item:303030013; Precio:1215696; Cant:0
Item:303030054; Precio:296878; Cant:21
Item:303030055; Precio:438372; Cant:15
Item:303030056; Precio:450064; Cant:18
Item:303030057; Precio:618344; Cant:3
Item:303040001; Precio:224007; Cant:0
Item:303040005; Precio:397989; Cant:0
Item:303040040; Precio:245175; Cant:0
Item:303040043; Precio:364583; Cant:0
Item:303040044; Precio:389750; Cant:0
Item:303040045; Precio:556340; Cant:0
Item:303040062; Precio:26804; Cant:6
Item:303040063; Precio:14613; Cant:0
Item:303050092; Precio:7301; Cant:0
Item:303050147; Precio:102435; Cant:0
Item:303050149; Precio:125944; Cant:20
Item:303050150; Precio:308999; Cant:8
Item:303050151; Precio:264401; Cant:5
Item:303050152; Precio:107997; Cant:9
Item:303050153; Precio:197504; Cant:6
Item:303050154; Precio:156481; Cant:0
Item:303050155; Precio:162597; Cant:8
Item:303050158; Precio:75684; Cant:0
Item:303050251; Precio:227633; Cant:5
Item:303050277; Precio:9640; Cant:0
Item:303050297; Precio:10962; Cant:0
Item:303050298; Precio:13052; Cant:0
Item:313100001; Precio:30678; Cant:13
Item:313100086; Precio:16741; Cant:0
Item:313100087; Precio:23228; Cant:9
Item:313100088; Precio:31986; Cant:5
Item:313100089; Precio:29200; Cant:3
Item:313100090; Precio:35837; Cant:14
Item:313100091; Precio:25362; Cant:8
Item:313100092; Precio:22034; Cant:7
Item:313100093; Precio:23493; Cant:9
Item:313100094; Precio:4247; Cant:0
Item:313100095; Precio:15927; Cant:0
Item:313100096; Precio:19990; Cant:0
Item:313100097; Precio:38888; Cant:8
Item:313100098; Precio:30130; Cant:7
Item:313100099; Precio:13538; Cant:8
Item:313100105; Precio:31832; Cant:0
Item:313100115; Precio:32309; Cant:0
Item:313100143; Precio:30835; Cant:0
Item:313100145; Precio:27452; Cant:0
Item:313100146; Precio:28156; Cant:0
Item:313100147; Precio:36741; Cant:9
Item:313100148; Precio:27204; Cant:7
Item:313100149; Precio:27044; Cant:7
Item:313100150; Precio:30575; Cant:0
Item:313100152; Precio:30604; Cant:10
Item:313100154; Precio:32369; Cant:10
Item:313100155; Precio:33808; Cant:8
Item:313100156; Precio:33808; Cant:10
Item:313100157; Precio:31739; Cant:25
Item:313100158; Precio:30002; Cant:40
Item:313100159; Precio:23248; Cant:0
Item:313100161; Precio:30857; Cant:0
Item:313100162; Precio:22393; Cant:13
Item:313100163; Precio:20776; Cant:4
Item:313100164; Precio:24432; Cant:6
Item:313100165; Precio:22526; Cant:0
Item:313100166; Precio:42875; Cant:10
Item:313100167; Precio:31314; Cant:9
Item:313100168; Precio:31486; Cant:13
Item:313100181; Precio:29518; Cant:5
Item:313100182; Precio:18741; Cant:0
Item:313100184; Precio:13241; Cant:7
Item:313100185; Precio:16631; Cant:6
Item:313100186; Precio:13738; Cant:0
Item:313100187; Precio:15382; Cant:0
Item:313100188; Precio:20829; Cant:6
Item:313100189; Precio:43111; Cant:12
Item:313100190; Precio:51968; Cant:7
Item:313100191; Precio:28373; Cant:10
Item:313100193; Precio:30678; Cant:43
Item:313100194; Precio:38430; Cant:10
Item:313100195; Precio:31958; Cant:9
Item:313100196; Precio:31061; Cant:13
Item:313100198; Precio:9848; Cant:12
Item:313100199; Precio:13241; Cant:9
Item:313100201; Precio:16631; Cant:16
Item:313100202; Precio:30678; Cant:10
Item:313100203; Precio:14854; Cant:8
Item:313100204; Precio:31958; Cant:7
Item:313100205; Precio:24789; Cant:0
Item:313100206; Precio:26804; Cant:10
Item:313100207; Precio:26804; Cant:10
Item:313100208; Precio:30678; Cant:10
Item:313100210; Precio:38430; Cant:13
Item:313100211; Precio:5489; Cant:17
Item:313110015; Precio:22563; Cant:11
Item:313110016; Precio:35437; Cant:7
Item:313110017; Precio:14732; Cant:12
Item:313110027; Precio:21159; Cant:7
Item:313110028; Precio:23370; Cant:10
Item:313110030; Precio:39677; Cant:12
Item:313110031; Precio:31416; Cant:0
Item:313110032; Precio:22041; Cant:17
Item:313110034; Precio:19892; Cant:0
Item:313110039; Precio:16631; Cant:11
Item:313110040; Precio:36975; Cant:0
Item:313110041; Precio:38430; Cant:11
Item:313110042; Precio:26804; Cant:48
Item:313110043; Precio:12244; Cant:0
Item:313110044; Precio:20021; Cant:15
Item:313110045; Precio:25835; Cant:14
Item:313110046; Precio:13141; Cant:0
Item:313110049; Precio:168041; Cant:0
Item:313120001; Precio:20331; Cant:374
Item:313120007; Precio:32862; Cant:0
Item:313120008; Precio:30800; Cant:0
Item:313120009; Precio:62900; Cant:0
Item:313120010; Precio:94542; Cant:0
Item:313120017; Precio:26331; Cant:0
Item:313120018; Precio:26331; Cant:0
Item:313120019; Precio:26331; Cant:0
Item:313120021; Precio:34378; Cant:18
Item:313120022; Precio:60161; Cant:17
Item:313120023; Precio:36440; Cant:21
Item:313120024; Precio:73053; Cant:48
Item:313120025; Precio:56207; Cant:24
Item:313120030; Precio:40269; Cant:321
Item:313120033; Precio:40615; Cant:53
Item:313120034; Precio:73230; Cant:18
Item:313130010; Precio:9848; Cant:9
Item:313130011; Precio:8074; Cant:0
Item:313130013; Precio:8495; Cant:11
Item:313130015; Precio:18438; Cant:8
Item:313130023; Precio:16660; Cant:49
Item:313130024; Precio:24301; Cant:11
Item:313130025; Precio:6944; Cant:7
Item:313130026; Precio:4331; Cant:0
Item:313130027; Precio:6422; Cant:0
Item:313130028; Precio:6944; Cant:10
Item:313130029; Precio:9025; Cant:4
Item:313130030; Precio:2537; Cant:9
Item:313130031; Precio:3390; Cant:5
Item:313130033; Precio:10484; Cant:10
Item:313130036; Precio:24950; Cant:10
Item:313130042; Precio:23026; Cant:23
Item:313130045; Precio:9520; Cant:156
Item:313130047; Precio:11303; Cant:7
Item:313140003; Precio:101238; Cant:7
Item:313140004; Precio:39574; Cant:0
Item:323200001; Precio:54845; Cant:0
Item:323200002; Precio:61454; Cant:12
Item:323200004; Precio:47474; Cant:0
Item:323200005; Precio:36479; Cant:0
Item:323200010; Precio:22284; Cant:5
Item:323200024; Precio:21915; Cant:25
Item:323200025; Precio:21915; Cant:6
Item:323200030; Precio:60015; Cant:8
Item:323200033; Precio:45011; Cant:3
Item:323200035; Precio:14506; Cant:4
Item:323200036; Precio:15136; Cant:4
Item:323200039; Precio:15767; Cant:0
Item:323200043; Precio:37931; Cant:0
Item:323200047; Precio:13034; Cant:6
Item:323200048; Precio:13141; Cant:0
Item:323200049; Precio:14210; Cant:7
Item:323200050; Precio:13141; Cant:0
Item:323200051; Precio:12755; Cant:9
Item:323200052; Precio:11303; Cant:4
Item:323200053; Precio:72701; Cant:9
Item:323200058; Precio:23411; Cant:0
Item:323200059; Precio:15829; Cant:0
Item:323200060; Precio:17173; Cant:0
Item:323200061; Precio:16792; Cant:0
Item:323200062; Precio:26804; Cant:0
Item:323200063; Precio:30195; Cant:13
Item:323200064; Precio:14532; Cant:6
Item:323200066; Precio:34769; Cant:3
Item:323200067; Precio:34769; Cant:6
Item:323200080; Precio:11800; Cant:9
Item:323200081; Precio:11800; Cant:10
Item:323200082; Precio:16858; Cant:11
Item:323200083; Precio:16858; Cant:9
Item:323200087; Precio:24176; Cant:11
Item:323200088; Precio:23125; Cant:11
