Item:818190288; Precio:; Cant:0
Item:5151251245124030001; Precio:; Cant:16
Item:5151251245124030002; Precio:; Cant:15
Item:5151251245124030003; Precio:; Cant:21
Item:5151251265126000001; Precio:; Cant:53
Item:5151251265126020001; Precio:; Cant:161
Item:5151251265126030001; Precio:; Cant:311
Item:5353153115311060002; Precio:; Cant:72
Item:5353153115311060007; Precio:; Cant:626
Item:5656056005600040001; Precio:; Cant:303
Item:5757157105710000014; Precio:; Cant:330
Item:5757157105710000015; Precio:; Cant:0
Item:5757157105710000016; Precio:; Cant:406
Item:5757157105710000028; Precio:; Cant:40
Item:5757157105710000029; Precio:; Cant:24
Item:5757157105710000030; Precio:; Cant:110
Item:5757257205720020001; Precio:; Cant:69
Item:5757257205720020002; Precio:; Cant:192
Item:5757257205720020003; Precio:; Cant:115
Item:5757257205720020004; Precio:; Cant:400
Item:5757257205720020005; Precio:; Cant:0
Item:5757257205720040001; Precio:; Cant:361
Item:5757257205720040002; Precio:; Cant:433
Item:5757257205720100001; Precio:; Cant:128
Item:5757257205720120001; Precio:; Cant:119
Item:5757357315731000016; Precio:; Cant:497
Item:5757457405740000003; Precio:; Cant:113
Item:5757457405740000004; Precio:; Cant:77
Item:5757457405740000008; Precio:; Cant:62
Item:5757457415741000001; Precio:; Cant:20
Item:5757457415741000013; Precio:; Cant:0
Item:5757457415741000014; Precio:; Cant:46
Item:5757457415741000015; Precio:; Cant:302
Item:5757457415741000016; Precio:; Cant:17
Item:5757457415741000017; Precio:; Cant:58
Item:5757457415741000018; Precio:; Cant:0
Item:5757457415741000025; Precio:; Cant:12
Item:5757457415741000031; Precio:; Cant:0
Item:5757457415741000046; Precio:; Cant:13
Item:5757457415741000048; Precio:; Cant:0
Item:5757457415741000049; Precio:; Cant:12
Item:5757457425742000004; Precio:; Cant:15
Item:5757457425742000005; Precio:; Cant:26
Item:5757457435743000004; Precio:; Cant:27
Item:5757457435743000006; Precio:; Cant:18
Item:5757457435743000008; Precio:; Cant:19
Item:5757457435743000011; Precio:; Cant:10
Item:5757457435743000016; Precio:; Cant:3
Item:5757457435743000017; Precio:; Cant:0
Item:5757457435743000018; Precio:; Cant:279
Item:5858258205820000002; Precio:; Cant:435
Item:5858258205820000003; Precio:; Cant:35
Item:5858658605860000009; Precio:; Cant:40
Item:5858658605860000016; Precio:; Cant:139
Item:5858658605860000024; Precio:; Cant:39
Item:5858658605860000025; Precio:; Cant:0
Item:5858658605860000067; Precio:; Cant:78
Item:5858658605860000077; Precio:; Cant:27
Item:5858658605860000078; Precio:; Cant:24
Item:5858658605860000079; Precio:; Cant:9
Item:5858658605860000081; Precio:; Cant:133
Item:5858658605860000082; Precio:; Cant:66
Item:5858658605860000096; Precio:; Cant:8
Item:5858658605860000098; Precio:; Cant:44
Item:5858658605860000099; Precio:; Cant:50
Item:5858658605860000106; Precio:; Cant:257
Item:5858658605860000107; Precio:; Cant:110
Item:5858658605860000108; Precio:; Cant:333
Item:5858658605860000109; Precio:; Cant:101
Item:5858658605860000119; Precio:; Cant:108
Item:5858658605860000123; Precio:; Cant:21
Item:5858658605860000124; Precio:; Cant:29
Item:5858758705870000017; Precio:; Cant:0
Item:5959559505950000001; Precio:; Cant:0
Item:5959759705970000001; Precio:; Cant:20
Item:5959559505950000013; Precio:; Cant:832
Item:5959559505950000014; Precio:; Cant:60
Item:5757457415741000062; Precio:; Cant:3
Item:5757457415741000064; Precio:; Cant:0
Item:5757457415741000066; Precio:; Cant:0
Item:5757457415741000068; Precio:; Cant:4
Item:5757457415741000072; Precio:; Cant:0
Item:5151251215121010022; Precio:; Cant:230
Item:5151251215121010023; Precio:; Cant:184
Item:5151251215121010024; Precio:; Cant:171
Item:5151251215121010025; Precio:; Cant:70
Item:5151251215121010026; Precio:; Cant:406
Item:5757457405740000015; Precio:; Cant:0
Item:5959359305930000002; Precio:; Cant:35
Item:5858658605860000197; Precio:; Cant:25
Item:5858658605860000199; Precio:; Cant:55
Item:0404204260001; Precio:; Cant:0
Item:0404204260002; Precio:; Cant:10
Item:0404204260003; Precio:; Cant:0
Item:5151251215121160002; Precio:; Cant:66
Item:5151251215121160003; Precio:; Cant:64
Item:5858658605860000288; Precio:; Cant:133
Item:5858658605860000300; Precio:; Cant:0
Item:5858658605860000301; Precio:; Cant:0
Item:5858658605860000302; Precio:; Cant:0
Item:5858658605860000303; Precio:; Cant:0
Item:5151251225122010002; Precio:; Cant:0
Item:5151251215121170001; Precio:; Cant:22
Item:5151251215121170002; Precio:; Cant:62
Item:5151251215121170003; Precio:; Cant:48
Item:5151251215121170004; Precio:; Cant:57
Item:5757357315731000061; Precio:; Cant:55
Item:5151251215121010064; Precio:; Cant:0
Item:5151251215121010065; Precio:; Cant:76
Item:5151251215121010066; Precio:; Cant:124
Item:5151251215121010067; Precio:; Cant:129
Item:5151251215121010068; Precio:; Cant:24
Item:0404204260004; Precio:; Cant:0
Item:5858658605860000316; Precio:; Cant:229
Item:5858658605860000332; Precio:; Cant:120
Item:5959359305930010007; Precio:; Cant:69
Item:5050050085008020001; Precio:; Cant:618
Item:5050050085008020002; Precio:; Cant:321
Item:5757457435743000003; Precio:; Cant:21
Item:5757457435743000012; Precio:; Cant:14
Item:5757457435743000014; Precio:; Cant:0
Item:5151151105110300020; Precio:; Cant:129
Item:5151151105110300021; Precio:; Cant:305
Item:5151151105110300022; Precio:; Cant:397
Item:5151151105110300023; Precio:; Cant:232
Item:5151151105110400001; Precio:; Cant:189
Item:5151251225122010004; Precio:; Cant:397
Item:5959459405940000006; Precio:; Cant:0
Item:5050050085008020003; Precio:; Cant:393
Item:5757357315731000062; Precio:; Cant:232
Item:5050150105010020002; Precio:; Cant:131
Item:5151251215121170005; Precio:; Cant:80
Item:5151251215121170006; Precio:; Cant:0
Item:5151251265126000002; Precio:; Cant:643
Item:5959359305930010009; Precio:; Cant:167
Item:5151151105110410001; Precio:; Cant:0
Item:5151151105110410002; Precio:; Cant:103
Item:5151151105110410003; Precio:; Cant:204
Item:5151151105110410004; Precio:; Cant:0
Item:5151151105110410005; Precio:; Cant:0
Item:5959859805980000009; Precio:; Cant:10
Item:5959859805980000011; Precio:; Cant:23
Item:5959859805980000014; Precio:; Cant:21
Item:5959859805980000017; Precio:; Cant:21
Item:5959859805980000020; Precio:; Cant:24
Item:5959859805980000022; Precio:; Cant:75
Item:5959859805980000025; Precio:; Cant:13
Item:5959859805980000028; Precio:; Cant:10
Item:5959859805980000029; Precio:; Cant:7
Item:5757357315731000069; Precio:; Cant:15
Item:5757157105710000064; Precio:; Cant:0
Item:5757157105710000065; Precio:; Cant:271
Item:5757157105710000066; Precio:; Cant:0
Item:5757157105710000067; Precio:; Cant:242
Item:5151151105110110029; Precio:; Cant:492
Item:5151151105110110030; Precio:; Cant:789
Item:5151151105110000124; Precio:; Cant:172
Item:5151151105110000125; Precio:; Cant:0
Item:5151151105110000126; Precio:; Cant:0
Item:5151151105110000127; Precio:; Cant:18
Item:5757257205720020013; Precio:; Cant:694
Item:5050050095009030008; Precio:; Cant:409
Item:5555155115511000020; Precio:; Cant:257
Item:5050050055005010079; Precio:; Cant:87
Item:5757357305730000045; Precio:; Cant:0
Item:5959759705970000051; Precio:; Cant:1213
Item:5858658625862000180; Precio:; Cant:197
Item:5858658625862000181; Precio:; Cant:56
Item:5858658625862000182; Precio:; Cant:100
Item:5050250205020010013; Precio:; Cant:330
Item:5353153115311010047; Precio:; Cant:0
Item:5353153115311010048; Precio:; Cant:96
Item:5050050015001000146; Precio:; Cant:1594
Item:5050050015001000147; Precio:; Cant:1713
Item:5151051015101000322; Precio:; Cant:268
Item:5151051015101000323; Precio:; Cant:0
Item:5050050065006010049; Precio:; Cant:72
Item:5454054015401000020; Precio:; Cant:273
Item:5454054015401000021; Precio:; Cant:365
Item:5151051015101010035; Precio:; Cant:0
Item:5151151105110110031; Precio:; Cant:761
Item:5757357315731000074; Precio:; Cant:1643
Item:5050050065006020051; Precio:; Cant:57
Item:5050050035003000160; Precio:; Cant:297
Item:5050050035003000162; Precio:; Cant:471
Item:5151151105110010125; Precio:; Cant:105
Item:5151151105110010126; Precio:; Cant:61
Item:5151151105110010127; Precio:; Cant:106
Item:5151151105110010128; Precio:; Cant:41
Item:5858658625862000179; Precio:; Cant:462
Item:5858658605860000682; Precio:; Cant:38
Item:5858658605860000683; Precio:; Cant:119
Item:5858658605860000684; Precio:; Cant:134
Item:5858658625862000183; Precio:; Cant:195
Item:5151151105110110032; Precio:; Cant:2083
Item:5858658615861030030; Precio:; Cant:489
Item:5050250215021000006; Precio:; Cant:507
Item:5858758705870000038; Precio:; Cant:1074
Item:5858658605860000692; Precio:; Cant:76
Item:5858658605860000693; Precio:; Cant:170
Item:5050150105010020003; Precio:; Cant:123
Item:5151251235123000014; Precio:; Cant:27
Item:5858658615861010210; Precio:; Cant:0
Item:5858658615861010211; Precio:; Cant:295
Item:5858658615861010212; Precio:; Cant:186
Item:5151151105110000168; Precio:; Cant:0
Item:5151151105110000169; Precio:; Cant:0
Item:5151151105110000170; Precio:; Cant:0
Item:5151051005100030087; Precio:; Cant:128
Item:5858658605860000910; Precio:; Cant:221
Item:5858658605860000911; Precio:; Cant:359
Item:5050150115011020007; Precio:; Cant:754
Item:5353153115311030056; Precio:; Cant:172
Item:5353153115311030057; Precio:; Cant:94
Item:5151051015101000417; Precio:; Cant:137
Item:5151051015101000418; Precio:; Cant:65
Item:5151051015101000420; Precio:; Cant:282
Item:5151051015101000419; Precio:; Cant:106
Item:5151151105110430001; Precio:; Cant:0
Item:5858658605860000916; Precio:; Cant:0
Item:5858658605860000917; Precio:; Cant:0
Item:5858658625862000242; Precio:; Cant:277
Item:5454054015401000028; Precio:; Cant:266
Item:5454054015401000029; Precio:; Cant:340
Item:5050050095009050022; Precio:; Cant:96
Item:5151051015101010041; Precio:; Cant:0
Item:5151051005100030094; Precio:; Cant:142
Item:5151051015101000443; Precio:; Cant:200
Item:5151051015101000444; Precio:; Cant:199
Item:5757457415741000168; Precio:; Cant:10
Item:5757457415741000169; Precio:; Cant:19
Item:5757457415741000170; Precio:; Cant:18
Item:5757457415741000171; Precio:; Cant:11
Item:5151151105110440001; Precio:; Cant:269
Item:5151151105110440002; Precio:; Cant:336
Item:5151151105110440003; Precio:; Cant:320
Item:5151151105110440004; Precio:; Cant:235
Item:5757457415741000174; Precio:; Cant:16
Item:5858658625862000301; Precio:; Cant:218
Item:5252152135213030005; Precio:; Cant:41
Item:5252152135213030006; Precio:; Cant:25
Item:5252152135213030007; Precio:; Cant:34
Item:5252152135213030008; Precio:; Cant:30
Item:5252152135213030009; Precio:; Cant:60
Item:5252152135213030011; Precio:; Cant:23
Item:5252152135213030012; Precio:; Cant:26
Item:5252152135213030010; Precio:; Cant:12
Item:636300052; Precio:; Cant:3
Item:5959559505950000051; Precio:; Cant:0
Item:626210308; Precio:; Cant:15
Item:5959359305930010021; Precio:; Cant:11
Item:5959359305930010022; Precio:; Cant:30
Item:5959359305930010023; Precio:; Cant:9
Item:5959359305930010024; Precio:; Cant:41
Item:5959359305930010025; Precio:; Cant:104
Item:5959359305930010026; Precio:; Cant:9
Item:5959359305930010027; Precio:; Cant:14
Item:5959359305930010028; Precio:; Cant:10
Item:5959359305930010029; Precio:; Cant:5
Item:5151151105110340001; Precio:; Cant:181
Item:5151151105110340002; Precio:; Cant:92
Item:5151151105110340003; Precio:; Cant:116
Item:5151151105110340004; Precio:; Cant:156
Item:5151151105110340005; Precio:; Cant:163
Item:5959859805980000034; Precio:; Cant:6
Item:5959859805980000035; Precio:; Cant:7
Item:5959859805980000037; Precio:; Cant:14
Item:5959859805980000038; Precio:; Cant:0
Item:5959859805980000039; Precio:; Cant:14
Item:5959859805980000040; Precio:; Cant:4
Item:5959859805980000041; Precio:; Cant:165
Item:5151151105110310001; Precio:; Cant:648
Item:5151151105110310002; Precio:; Cant:830
Item:5151151105110310003; Precio:; Cant:461
Item:5757457415741000190; Precio:; Cant:180
Item:5151251235123020008; Precio:; Cant:355
Item:5757357315731000116; Precio:; Cant:0
Item:5151251235123000017; Precio:; Cant:50
Item:5757457415741000195; Precio:; Cant:29
Item:5050050015001020011; Precio:; Cant:96
Item:5858658605860001445; Precio:; Cant:8
Item:5757457435743000074; Precio:; Cant:15
Item:5757457435743000077; Precio:; Cant:30
Item:5757457435743000078; Precio:; Cant:13
Item:5757457415741000215; Precio:; Cant:15
Item:5757457415741000216; Precio:; Cant:13
Item:5757457415741000217; Precio:; Cant:17
Item:5151251215121010329; Precio:; Cant:35
Item:5151251215121010330; Precio:; Cant:33
Item:5151251215121010331; Precio:; Cant:245
Item:5858658605860001532; Precio:; Cant:78
Item:5757457405740000059; Precio:; Cant:0
Item:5353153115311130001; Precio:; Cant:10
Item:5353153115311130002; Precio:; Cant:38
Item:5353153115311130003; Precio:; Cant:107
Item:5959359305930010034; Precio:; Cant:254
Item:5151151105110480001; Precio:; Cant:63
Item:5151151105110480002; Precio:; Cant:125
Item:5151151105110480003; Precio:; Cant:141
Item:5151151105110480004; Precio:; Cant:138
Item:5151151105110480005; Precio:; Cant:89
Item:5757457415741000234; Precio:; Cant:7
Item:5757457435743000015; Precio:; Cant:25
Item:5858658605860001685; Precio:; Cant:33
Item:5353053015301020006; Precio:; Cant:165
Item:5353053015301020007; Precio:; Cant:253
Item:5858558505850000010; Precio:; Cant:427
Item:5151151105110110128; Precio:; Cant:1095
Item:5151151105110010303; Precio:; Cant:144
Item:5858658605860001704; Precio:; Cant:0
Item:5151151105110000413; Precio:; Cant:55
Item:5151151105110080021; Precio:; Cant:2533
Item:5151251215121110004; Precio:; Cant:4
Item:5050050015001000331; Precio:; Cant:194
Item:5050050015001000332; Precio:; Cant:95
Item:5050050015001000333; Precio:; Cant:161
Item:5151151105110240021; Precio:; Cant:0
Item:5151151105110240022; Precio:; Cant:0
Item:5858658625862000530; Precio:; Cant:0
Item:0404504560034; Precio:; Cant:0
Item:0404504560035; Precio:; Cant:4
Item:0404504560036; Precio:; Cant:24
Item:0404504560037; Precio:; Cant:0
Item:5151151105110500001; Precio:; Cant:117
Item:5151151105110500002; Precio:; Cant:128
Item:5151151105110500003; Precio:; Cant:212
Item:5858658615861020163; Precio:; Cant:31
Item:5858658615861010485; Precio:; Cant:45
Item:5858658615861010486; Precio:; Cant:147
Item:5858658615861010487; Precio:; Cant:163
Item:5353153115311060088; Precio:; Cant:736
Item:5050050025002000079; Precio:; Cant:355
Item:5050050025002000080; Precio:; Cant:96
Item:5151251215121010405; Precio:; Cant:154
Item:5151251215121010406; Precio:; Cant:60
Item:5151151105110020023; Precio:; Cant:60
Item:5151151105110020024; Precio:; Cant:100
Item:5858658605860001846; Precio:; Cant:15
Item:5858658605860001847; Precio:; Cant:0
Item:5959859805980000068; Precio:; Cant:45
Item:5757357315731000207; Precio:; Cant:15
Item:5757357315731000208; Precio:; Cant:16
Item:5757357315731000209; Precio:; Cant:0
Item:5757357315731000210; Precio:; Cant:24
Item:5959359305930010051; Precio:; Cant:119
Item:5151151105110300062; Precio:; Cant:34
Item:5151151105110300063; Precio:; Cant:76
Item:5151151105110300064; Precio:; Cant:71
Item:5858658605860001926; Precio:; Cant:48
Item:5151251215121000033; Precio:; Cant:62
Item:5050050055005010183; Precio:; Cant:390
Item:5050050055005010185; Precio:; Cant:40
Item:636300121; Precio:; Cant:42
Item:636300122; Precio:; Cant:0
Item:636300123; Precio:; Cant:187
Item:636300124; Precio:; Cant:138
Item:5757357315731000225; Precio:; Cant:42
Item:5151151105110510001; Precio:; Cant:13
Item:5151151105110510002; Precio:; Cant:55
Item:5151151105110510003; Precio:; Cant:0
Item:5151151105110510004; Precio:; Cant:112
Item:5757457415741000327; Precio:; Cant:113
Item:5757457415741000328; Precio:; Cant:33
Item:5959859805980000074; Precio:; Cant:84
Item:5151251205120150001; Precio:; Cant:14
Item:5151251215121170027; Precio:; Cant:18
Item:5151251215121170028; Precio:; Cant:0
Item:5151151105110300080; Precio:; Cant:226
Item:5151151105110300081; Precio:; Cant:113
Item:5151151105110300082; Precio:; Cant:185
Item:5050050035003020081; Precio:; Cant:433
Item:5050150105010020006; Precio:; Cant:156
Item:5050050025002000091; Precio:; Cant:0
Item:5050050055005010201; Precio:; Cant:634
Item:5757457415741000330; Precio:; Cant:115
Item:5757457415741000332; Precio:; Cant:112
Item:5757457415741000333; Precio:; Cant:0
Item:5757457415741000334; Precio:; Cant:40
Item:5757457415741000335; Precio:; Cant:0
Item:5757457415741000336; Precio:; Cant:80
Item:5757457415741000337; Precio:; Cant:0
Item:5757457415741000338; Precio:; Cant:86
Item:5757457415741000339; Precio:; Cant:0
Item:5757457415741000340; Precio:; Cant:83
Item:5757457415741000341; Precio:; Cant:0
Item:5757457415741000342; Precio:; Cant:78
Item:5757457415741000343; Precio:; Cant:0
Item:5757457415741000344; Precio:; Cant:60
Item:5757457415741000345; Precio:; Cant:0
Item:5858658605860002085; Precio:; Cant:586
Item:5858658605860002086; Precio:; Cant:51
Item:5151151105110520001; Precio:; Cant:486
Item:5050050055005000064; Precio:; Cant:731
Item:5959559505950000181; Precio:; Cant:973
Item:0404504560048; Precio:; Cant:50
Item:0404504560049; Precio:; Cant:0
Item:5757457415741000378; Precio:; Cant:17
Item:5757457415741000379; Precio:; Cant:3
Item:5757457435743000133; Precio:; Cant:55
Item:5757457435743000134; Precio:; Cant:29
Item:5757457435743000135; Precio:; Cant:0
Item:5858658605860002160; Precio:; Cant:11
Item:5858658605860002161; Precio:; Cant:14
Item:5858658605860002162; Precio:; Cant:9
Item:5858658605860002163; Precio:; Cant:15
Item:5151151105110540001; Precio:; Cant:8
Item:5151151105110540002; Precio:; Cant:10
Item:5151151105110540003; Precio:; Cant:0
Item:5151151105110540004; Precio:; Cant:8
Item:5151251205120020107; Precio:; Cant:261
Item:5151251205120020108; Precio:; Cant:94
Item:5151251205120000289; Precio:; Cant:369
Item:5151251205120000290; Precio:; Cant:99
Item:5858658615861010628; Precio:; Cant:92
Item:5858658615861010629; Precio:; Cant:119
Item:5858658605860002174; Precio:; Cant:225
Item:5858658605860002175; Precio:; Cant:81
Item:5353153115311010275; Precio:; Cant:184
Item:5353153115311010276; Precio:; Cant:121
Item:5959759705970000132; Precio:; Cant:376
Item:5353153115311060103; Precio:; Cant:1170
Item:5757357315731000296; Precio:; Cant:41
Item:5858758705870000103; Precio:; Cant:87
Item:5858758705870000104; Precio:; Cant:11
Item:5050050095009040006; Precio:; Cant:65
Item:5959359305930010065; Precio:; Cant:23
Item:5959359305930010066; Precio:; Cant:10
Item:5959359305930010067; Precio:; Cant:4
Item:5959359305930010068; Precio:; Cant:14
Item:5151251215121000049; Precio:; Cant:35
Item:5151251215121000050; Precio:; Cant:32
Item:5959859805980000079; Precio:; Cant:7
Item:5858658605860002208; Precio:; Cant:0
Item:5959459405940000058; Precio:; Cant:0
Item:5959459405940000059; Precio:; Cant:35
Item:5858158105810000056; Precio:; Cant:0
Item:5959459405940000060; Precio:; Cant:0
Item:5555255215521000020; Precio:; Cant:0
Item:5858658635863010107; Precio:; Cant:0
Item:5858258205820000130; Precio:; Cant:0
Item:5858658605860002249; Precio:; Cant:0
Item:5151151105110230023; Precio:; Cant:55
Item:5151151105110230024; Precio:; Cant:51
Item:5858658605860002275; Precio:; Cant:0
Item:5151251215121220001; Precio:; Cant:5
Item:5151251215121220002; Precio:; Cant:0
Item:5151251215121220003; Precio:; Cant:0
Item:5151251215121220004; Precio:; Cant:0
Item:5151251215121220005; Precio:; Cant:0
Item:5151251215121220006; Precio:; Cant:53
Item:5151251215121220007; Precio:; Cant:53
Item:5151251215121220008; Precio:; Cant:14
Item:5151251215121230001; Precio:; Cant:14
Item:5151251215121230002; Precio:; Cant:3
Item:5757357315731000345; Precio:; Cant:137
Item:5757357315731000346; Precio:; Cant:0
Item:5858658605860002364; Precio:; Cant:14
Item:5858658605860002372; Precio:; Cant:58
Item:5757157105710000278; Precio:; Cant:43
Item:5757457415741000494; Precio:; Cant:36
Item:5757457415741000495; Precio:; Cant:28
Item:5757457415741000496; Precio:; Cant:19
Item:5151251215121240001; Precio:; Cant:13
Item:5151251215121240002; Precio:; Cant:0
Item:5858658605860002541; Precio:; Cant:824
Item:5959359305930010086; Precio:; Cant:77
Item:5151251205120020131; Precio:; Cant:0
Item:5757457435743000167; Precio:; Cant:120
Item:5757457415741000514; Precio:; Cant:76
Item:5757457415741000515; Precio:; Cant:25
Item:5757457435743000168; Precio:; Cant:5
Item:5757457435743000169; Precio:; Cant:83
Item:5858658605860002587; Precio:; Cant:16
Item:5959859805980000096; Precio:; Cant:7
Item:5959859805980000097; Precio:; Cant:3
Item:5959859805980000098; Precio:; Cant:4
Item:5959859805980000099; Precio:; Cant:3
Item:5959859805980000100; Precio:; Cant:0
Item:5757457435743000172; Precio:; Cant:10
Item:5757457415741000517; Precio:; Cant:17
Item:5757457435743000173; Precio:; Cant:78
Item:5757357315731000445; Precio:; Cant:133
Item:5757257205720020056; Precio:; Cant:659
Item:5151251245124050001; Precio:; Cant:7
Item:5151251245124050002; Precio:; Cant:6
Item:5757357315731000484; Precio:; Cant:98
Item:5757457415741000538; Precio:; Cant:6
Item:5757457415741000539; Precio:; Cant:0
Item:5858658605860002727; Precio:; Cant:15
Item:5151151105110510037; Precio:; Cant:62
Item:5151151105110510038; Precio:; Cant:61
Item:5151151105110510039; Precio:; Cant:39
Item:5151151105110510040; Precio:; Cant:46
Item:626210124; Precio:; Cant:4
Item:626210125; Precio:; Cant:0
Item:626230146; Precio:; Cant:31
Item:626230147; Precio:; Cant:20
Item:626230149; Precio:; Cant:12
Item:626230150; Precio:; Cant:25
Item:626230151; Precio:; Cant:9
Item:626230153; Precio:; Cant:21
Item:626230154; Precio:; Cant:0
Item:111100001; Precio:; Cant:173
Item:111100003; Precio:; Cant:483
Item:111100004; Precio:; Cant:189
Item:111100005; Precio:; Cant:191
Item:111100006; Precio:; Cant:428
Item:111100009; Precio:; Cant:70
Item:111100040; Precio:; Cant:76
Item:111100045; Precio:; Cant:174
Item:111100049; Precio:; Cant:1540
Item:111100052; Precio:; Cant:30
Item:111100062; Precio:; Cant:17
Item:111100063; Precio:; Cant:34
Item:111100065; Precio:; Cant:107
Item:111100066; Precio:; Cant:44
Item:111100067; Precio:; Cant:45
Item:111100071; Precio:; Cant:23
Item:111100076; Precio:; Cant:74
Item:111100077; Precio:; Cant:3383
Item:111100079; Precio:; Cant:149
Item:111100080; Precio:; Cant:36
Item:111100084; Precio:; Cant:34
Item:111100086; Precio:; Cant:224
Item:111100089; Precio:; Cant:53
Item:111100090; Precio:; Cant:394
Item:111100092; Precio:; Cant:0
Item:111100093; Precio:; Cant:131
Item:111100097; Precio:; Cant:106
Item:111100098; Precio:; Cant:23
Item:111100101; Precio:; Cant:216
Item:111100105; Precio:; Cant:35
Item:111100106; Precio:; Cant:51
Item:111100110; Precio:; Cant:51
Item:111100124; Precio:; Cant:27
Item:111100127; Precio:; Cant:34
Item:111100130; Precio:; Cant:37
Item:111100138; Precio:; Cant:0
Item:111100142; Precio:; Cant:88
Item:111100143; Precio:; Cant:33
Item:111100152; Precio:; Cant:0
Item:111100154; Precio:; Cant:29
Item:111100157; Precio:; Cant:80
Item:111100159; Precio:; Cant:46
Item:111100164; Precio:; Cant:33
Item:111100168; Precio:; Cant:24
Item:111100172; Precio:; Cant:29
Item:111100173; Precio:; Cant:146
Item:111100174; Precio:; Cant:123
Item:111100175; Precio:; Cant:572
Item:111100176; Precio:; Cant:16
Item:111100177; Precio:; Cant:46
Item:111100178; Precio:; Cant:32
Item:111100179; Precio:; Cant:60
Item:111100181; Precio:; Cant:7
Item:111100183; Precio:; Cant:4
Item:111100188; Precio:; Cant:298
Item:111100191; Precio:; Cant:4
Item:111100192; Precio:; Cant:13
Item:111100193; Precio:; Cant:25
Item:111100194; Precio:; Cant:13
Item:111100197; Precio:; Cant:0
Item:111100198; Precio:; Cant:4
Item:111100199; Precio:; Cant:12
Item:111100200; Precio:; Cant:14
Item:111100201; Precio:; Cant:13
Item:111100202; Precio:; Cant:20
Item:111100203; Precio:; Cant:0
Item:111100204; Precio:; Cant:6
Item:111100205; Precio:; Cant:13
Item:111100211; Precio:; Cant:80
Item:111100212; Precio:; Cant:27
Item:111100213; Precio:; Cant:15
Item:111100214; Precio:; Cant:58
Item:111100215; Precio:; Cant:135
Item:111100217; Precio:; Cant:22
Item:111100218; Precio:; Cant:30
Item:111100219; Precio:; Cant:30
Item:111100220; Precio:; Cant:77
Item:111100231; Precio:; Cant:87
Item:111100232; Precio:; Cant:13
Item:111100233; Precio:; Cant:18
Item:111100234; Precio:; Cant:20
Item:111100235; Precio:; Cant:56
Item:111100238; Precio:; Cant:15
Item:111100239; Precio:; Cant:13
